x y
-2.254599 1.125708
3.507143 13.422354
1.319939 4.865683
-0.013415 1.944250
-4.439814 5.289541
-4.440055 5.220653
-5.419164 8.495358
2.661761 9.567957
0.011150 1.968053
1.080726 4.244427
-5.794155 10.152814
3.699099 14.349279
2.324426 8.236287
-3.876609 3.719774
-4.181750 4.511995
-4.165955 4.523497
-2.957578 1.924997
-0.752436 1.116739
-1.680550 0.846823
-3.087709 2.094619
0.118529 2.180963
-4.605061 5.712761
-3.078554 2.134750
-2.336382 1.266126
-1.439300 0.877492
1.851760 6.564823
-4.003262 3.994928
-0.857656 1.217312
-0.075854 1.920379
-5.535496 8.974756
0.075449 2.062474
-4.294759 4.804462
-5.349484 8.273091
3.488855 13.355039
3.656320 14.192482
2.083973 7.293792
-2.953862 1.889518
-5.023279 7.006005
0.842330 3.595930
-1.598475 0.922669
-4.779618 6.263651
-1.048231 0.914761
-5.656115 9.520304
3.093204 11.443027
-3.412200 2.659062
0.625223 3.140972
-2.882889 1.834102
-0.799320 1.063328
-0.532897 1.360533
-4.151455 4.418147
3.695846 14.427562
1.751328 6.213258
3.394989 12.786577
2.948274 10.721677
-0.021000 1.994472
3.218742 12.033954
-5.115075 7.435136
-4.040171 4.293872
-5.547727 9.095592
-2.746697 1.708905
-2.113227 1.110724
-3.286510 2.503378
2.287375 8.031342
-2.432467 1.347696
-3.190655 2.265516
-0.573039 1.292787
-4.590758 5.627124
2.021970 7.081229
-5.254494 8.038844
3.868869 15.194016
1.722448 6.101398
-4.012843 3.951555
-5.944779 10.729433
2.154614 7.607550
1.068573 4.176999
1.290072 4.713363
1.712703 5.999967
-5.259553 7.976101
-2.415343 1.257408
-4.841309 6.467997
2.631034 9.410001
0.232981 2.344032
-2.691020 1.691461
-5.364416 8.373553
-2.890177 1.740039
-2.748167 1.663283
1.296062 4.750891
0.375575 2.676512
2.872127 10.393123
-1.277851 0.893938
-4.804058 6.358647
1.132448 4.383179
1.607850 5.644353
-0.387228 1.477406
1.709672 6.002249
-1.062044 0.938236
-0.772672 1.227776
-1.724590 0.920469
-5.745809 9.825402
-4.921086 6.772807
-5.685708 9.741184
0.364104 2.664065
-2.856440 1.718996
-0.914293 1.022315
3.075665 11.406699
-3.507078 2.853797
-1.896171 0.975667
1.555511 5.581807
-3.712018 3.275166
-5.230201 7.829223
-3.102485 1.996916
-4.387787 4.993438
3.296977 12.367863
2.081204 7.225121
0.334038 2.638467
2.714606 9.684944
2.036721 7.107195
-4.134299 4.351304
2.925590 10.739987
-0.606578 1.202309
2.074402 7.321331
2.960913 10.825384
-2.819965 1.697079
-4.899481 6.676340
-3.720648 3.350593
-1.728922 0.871192
2.180148 7.650234
2.607306 9.290715
-5.930479 10.695247
-0.892527 1.092618
-1.825890 1.007403
-3.778922 3.409852
-4.801346 6.431095
-2.623848 1.408913
3.429097 13.015410
-2.767971 1.708291
-0.812094 1.125657
1.030190 4.044795
-2.363704 1.237586
3.717821 14.463177
3.624473 13.975643
-3.482177 2.881993
-1.027515 1.004472
-2.991217 1.952218
-3.151595 2.283863
-5.631131 9.423485
0.095643 2.188682
-0.973210 1.045235
-5.485212 8.774510
-3.213535 2.315093
3.082659 11.412746
-3.604381 3.119728
-4.551051 5.528412
-1.105472 0.958692
3.856505 15.284954
-3.579447 3.007472
0.721355 3.369565
1.616196 5.720230
-3.623625 3.119007
1.282163 4.800156
-2.322169 1.254251
0.323058 2.577446
0.335297 2.624432
-0.642253 1.243915
-5.097102 7.378670
2.353025 8.282387
-2.792199 1.726098
-4.134815 4.339618
-5.592249 9.253099
-0.091071 1.897299
0.775644 3.423366
-5.834122 10.371925
-0.879069 1.017477
-3.735042 3.311997
0.451728 2.837526
-4.256336 4.713276
0.909377 3.808756
-2.132647 1.106538
3.367300 12.719692
-4.624791 5.712295
-2.589336 1.472117
-4.865265 6.503645
3.246936 12.190458
2.773394 9.998593
-3.420584 2.678046
0.599840 3.063596
2.172222 7.638254
-0.447992 1.400174
-0.703494 1.151100
-3.581477 3.053458
-5.068972 7.256030
2.972158 10.849750
3.004181 10.995269
0.331015 2.562910
-2.609702 1.418315
-2.507904 1.312562
1.259557 4.646655
2.971103 10.859707
2.870864 10.442772
1.798755 6.389662
